tvBench_id,db_id,chart,hardness,query,question,vega_zero
409,candidate_poll,Grouping Scatter,Easy,"Visualize SCATTER SELECT avg(weight) , min(weight) FROM people GROUP BY Sex",Show avg(weight) vs minimal weight as scatter plot use a different color for each Sex,mark point data people encoding x avg(weight) y aggregate min weight transform group sex
2838,station_weather,Bar,Easy,"Visualize BAR SELECT name , COUNT(name) FROM train GROUP BY name",Plot how many name by grouped by name as a bar graph,mark bar data train encoding x name y aggregate count name transform group x
2459,network_2,Bar,Easy,"Visualize BAR SELECT job , avg(age) FROM Person GROUP BY job",Bar chart x axis job y axis the average of age,mark bar data person encoding x job y aggregate mean age transform group x
1594@y_name@ASC,hr_1,Bar,Extra Hard,"Visualize BAR SELECT HIRE_DATE , SUM(MANAGER_ID) FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR department_id != 40  ORDER BY SUM(MANAGER_ID) ASC BIN HIRE_DATE BY WEEKDAY","For those employees whose salary is in the range of 8000 and 12000 and commission is not null or department number does not equal to 40 , visualize a bar chart about the distribution of hire_date and the sum of manager_id bin hire_date by weekday , and display by the total number of manager id in ascending .","mark bar data employees encoding x hire_date y aggregate sum manager_id transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40 sort y asc bin x by weekday"
2119@y_name@DESC,local_govt_and_lot,Bar,Medium,"Visualize BAR SELECT date_moved_in , COUNT(date_moved_in) FROM customer_events  ORDER BY COUNT(date_moved_in) DESC BIN date_moved_in BY WEEKDAY","Group and count the move in date in a bar chart , and bin the X-axis into week day interval , order y-axis in desc order .",mark bar data customer_events encoding x date_moved_in y aggregate count date_moved_in transform sort y desc bin x by weekday
1759@y_name@ASC,hr_1,Bar,Hard,"Visualize BAR SELECT HIRE_DATE , AVG(SALARY) FROM employees WHERE hire_date < '2002-06-21'  ORDER BY AVG(SALARY) ASC BIN HIRE_DATE BY MONTH","For those employees who was hired before 2002-06-21 , show me about the distribution of hire_date and the average of salary bin hire_date by time in a bar chart , and order total number from low to high order .",mark bar data employees encoding x hire_date y aggregate mean salary transform filter hire_date < '2002-06-21' sort y asc bin x by month
1304@y_name@ASC,election,Bar,Easy,"Visualize BAR SELECT County_name , Population FROM county ORDER BY Population ASC","Show the county name and population of all counties Show bar chart , rank in asc by the y-axis .",mark bar data county encoding x county_name y aggregate none population transform sort y asc
74@x_name@DESC,apartment_rentals,Bar,Medium,"Visualize BAR SELECT booking_status_code , COUNT(*) FROM Apartment_Bookings GROUP BY booking_status_code ORDER BY booking_status_code DESC","How many bookings does each booking status have ? List the booking status code and the number of corresponding bookings , order X from high to low order .",mark bar data apartment_bookings encoding x booking_status_code y aggregate count booking_status_code transform group x sort x desc
1754@y_name@DESC,hr_1,Bar,Hard,"Visualize BAR SELECT HIRE_DATE , COUNT(HIRE_DATE) FROM employees WHERE hire_date < '2002-06-21'  ORDER BY COUNT(HIRE_DATE) DESC BIN HIRE_DATE BY MONTH","For those employees who was hired before 2002-06-21 , find hire_date and the amount of hire_date bin hire_date by time , and visualize them by a bar chart , sort by the how many hire date in descending please .",mark bar data employees encoding x hire_date y aggregate count hire_date transform filter hire_date < '2002-06-21' sort y desc bin x by month
2165@x_name@DESC,machine_repair,Bar,Hard,"Visualize BAR SELECT Name , COUNT(Name) FROM technician WHERE Team != ""NYY"" GROUP BY Name ORDER BY Name DESC","List the number of the name of technicians whose team is not ""NYY"" , order by the X-axis in desc .","mark bar data technician encoding x name y aggregate count name transform filter team != ""nyy"" group x sort x desc"
2816@y_name@DESC,sports_competition,Bar,Medium,"Visualize BAR SELECT Country , COUNT(Country) FROM competition GROUP BY Country ORDER BY COUNT(Country) DESC","A bar chart for how many competitions for each country , and rank by the the number of country in desc .",mark bar data competition encoding x country y aggregate count country transform group x sort y desc
753@y_name@DESC,cre_Doc_Template_Mgt,Bar,Medium,"Visualize BAR SELECT Template_Type_Code , count(*) FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC","Show all template type codes and number of templates for each with a bar chart , could you list Y-axis in descending order please ?",mark bar data templates encoding x template_type_code y aggregate count template_type_code transform group x sort y desc
3115@y_name@DESC,university_basketball,Bar,Easy,"Visualize BAR SELECT All_Games , School_ID FROM basketball_match ORDER BY School_ID DESC","Bar chart of school_id from each all games , and I want to sort total number from high to low order please .",mark bar data basketball_match encoding x all_games y aggregate none school_id transform sort y desc
2634,protein_institute,Grouping Scatter,Medium,"Visualize SCATTER SELECT count(*) , sum(enrollment) FROM institution GROUP BY Type",Show count(*) vs sum enrollment as scatter plot use a different color for each Type,mark point data institution encoding x count(*) y aggregate sum enrollment transform group type
1791@x_name@DESC,hr_1,Line,Medium,"Visualize LINE SELECT HIRE_DATE , DEPARTMENT_ID FROM employees WHERE hire_date < '2002-06-21' ORDER BY HIRE_DATE DESC","For those employees who was hired before 2002-06-21 , show me the trend about department_id over hire_date with a line chart , rank from high to low by the X-axis .",mark line data employees encoding x hire_date y aggregate none department_id transform filter hire_date < '2002-06-21' sort x desc
1896,hr_1,Bar,Easy,"Visualize BAR SELECT FIRST_NAME , SALARY FROM employees",You can return a bar chart with employees' first names and their salaries .,mark bar data employees encoding x first_name y aggregate none salary
2460,network_2,Pie,Medium,"Visualize PIE SELECT job , avg(age) FROM Person WHERE gender = 'male' GROUP BY job",What is the average age for a male in each job .,mark arc data person encoding x job y aggregate mean age transform filter gender = 'male' group x
2908@x_name@DESC,swimming,Bar,Medium,"Visualize BAR SELECT Nationality , SUM(meter_100) FROM swimmer GROUP BY Nationality ORDER BY Nationality DESC","Give me the comparison about the sum of meter_100 over the Nationality , and group by attribute Nationality , rank names in descending order .",mark bar data swimmer encoding x nationality y aggregate sum meter_100 transform group x sort x desc
3275@x_name@DESC,world_1,Bar,Medium,"Visualize BAR SELECT GovernmentForm , sum(Population) FROM country GROUP BY GovernmentForm ORDER BY GovernmentForm DESC","Show me a bar chart for what are the different government forms and what is the total population of each for government forms that have an average life expectancy greater than 72 ? , sort x axis from high to low order .",mark bar data country encoding x governmentform y aggregate sum population transform group x sort x desc
3110@y_name@DESC,university_basketball,Bar,Easy,"Visualize BAR SELECT Team_Name , Team_ID FROM basketball_match ORDER BY Team_ID DESC","Show me about the distribution of Team_Name and Team_ID in a bar chart , could you show by the y-axis from high to low ?",mark bar data basketball_match encoding x team_name y aggregate none team_id transform sort y desc
1617@x_name@DESC,hr_1,Line,Hard,"Visualize LINE SELECT HIRE_DATE , DEPARTMENT_ID FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR department_id != 40 ORDER BY HIRE_DATE DESC","For those employees whose salary is in the range of 8000 and 12000 and commission is not null or department number does not equal to 40 , return a line chart about the change of department_id over hire_date , and could you order X in desc order ?","mark line data employees encoding x hire_date y aggregate none department_id transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40 sort x desc"
1791@x_name@DESC,hr_1,Line,Medium,"Visualize LINE SELECT HIRE_DATE , DEPARTMENT_ID FROM employees WHERE hire_date < '2002-06-21' ORDER BY HIRE_DATE DESC","For those employees who was hired before 2002-06-21 , give me the trend about department_id over hire_date , could you list in descending by the X-axis ?",mark line data employees encoding x hire_date y aggregate none department_id transform filter hire_date < '2002-06-21' sort x desc
2769@y_name@ASC,shop_membership,Bar,Medium,"Visualize BAR SELECT Hometown , COUNT(Hometown) FROM member GROUP BY Hometown ORDER BY COUNT(Hometown) ASC","Bar chart of the number of hometown from each hometown , order Y-axis in asc order .",mark bar data member encoding x hometown y aggregate count hometown transform group x sort y asc
1621@x_name@ASC,hr_1,Line,Hard,"Visualize LINE SELECT HIRE_DATE , COMMISSION_PCT FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR department_id != 40 ORDER BY HIRE_DATE ASC","For those employees whose salary is in the range of 8000 and 12000 and commission is not null or department number does not equal to 40 , a line chart shows the trend of commission_pct over hire_date , show X-axis in ascending order please .","mark line data employees encoding x hire_date y aggregate none commission_pct transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40 sort x asc"
2169@x_name@DESC,machine_repair,Bar,Medium,"Visualize BAR SELECT Team , COUNT(*) FROM technician GROUP BY Team ORDER BY Team DESC","Create a bar chart showing the total number across team , show X-axis from high to low order please .",mark bar data technician encoding x team y aggregate count team transform group x sort x desc
1399@y_name@ASC,film_rank,Bar,Medium,"Visualize BAR SELECT Studio , COUNT(*) FROM film GROUP BY Studio ORDER BY COUNT(*) ASC","How films are produced by each studio Show bar chart , and order Y-axis from low to high order .",mark bar data film encoding x studio y aggregate count studio transform group x sort y asc
1462@y_name@ASC,game_1,Bar,Medium,"Visualize BAR SELECT SportName , count(*) FROM Sportsinfo GROUP BY sportname ORDER BY count(*) ASC","Bar chart x axis sportname y axis the total number , order by the y axis in ascending .",mark bar data sportsinfo encoding x sportname y aggregate count sportname transform group x sort y asc
2909,swimming,Bar,Easy,"Visualize BAR SELECT Nationality , AVG(meter_100) FROM swimmer GROUP BY Nationality","Find Nationality and the average of meter_100 , and group by attribute Nationality , and visualize them by a bar chart .",mark bar data swimmer encoding x nationality y aggregate mean meter_100 transform group x
1791@x_name@ASC,hr_1,Line,Medium,"Visualize LINE SELECT HIRE_DATE , DEPARTMENT_ID FROM employees WHERE hire_date < '2002-06-21' ORDER BY HIRE_DATE ASC","For those employees who was hired before 2002-06-21 , draw a line chart about the change of department_id over hire_date , show by the HIRE_DATE from low to high please .",mark line data employees encoding x hire_date y aggregate none department_id transform filter hire_date < '2002-06-21' sort x asc
2503@y_name@ASC,party_host,Bar,Medium,"Visualize BAR SELECT Nationality , COUNT(*) FROM HOST GROUP BY Nationality ORDER BY COUNT(*) ASC","Bar chart x axis nationality y axis the total number , could you list in ascending by the y axis ?",mark bar data host encoding x nationality y aggregate count nationality transform group x sort y asc
1560@y_name@DESC,hr_1,Bar,Extra Hard,"Visualize BAR SELECT JOB_ID , SUM(EMPLOYEE_ID) FROM employees WHERE first_name LIKE '%D%' OR first_name LIKE '%S%' GROUP BY JOB_ID ORDER BY SUM(EMPLOYEE_ID) DESC","For all employees who have the letters D or S in their first name , find job_id and the sum of employee_id , and group by attribute job_id , and visualize them by a bar chart , display in descending by the sum employee id .",mark bar data employees encoding x job_id y aggregate sum employee_id transform filter first_name like '%d%' or first_name like '%s%' group x sort y desc
1561@y_name@ASC,hr_1,Bar,Extra Hard,"Visualize BAR SELECT JOB_ID , AVG(EMPLOYEE_ID) FROM employees WHERE first_name LIKE '%D%' OR first_name LIKE '%S%' GROUP BY JOB_ID ORDER BY AVG(EMPLOYEE_ID) ASC","For all employees who have the letters D or S in their first name , find job_id and the average of employee_id , and group by attribute job_id , and visualize them by a bar chart , rank in asc by the y-axis please .",mark bar data employees encoding x job_id y aggregate mean employee_id transform filter first_name like '%d%' or first_name like '%s%' group x sort y asc
2189@x_name@DESC,manufactory_1,Bar,Medium,"Visualize BAR SELECT Name , Code FROM products WHERE price BETWEEN 60 AND 120 ORDER BY Name DESC","For those products with a price between 60 and 120 , a bar chart shows the distribution of name and code , rank names in descending order .",mark bar data products encoding x name y aggregate none code transform filter price between 60 and 120 sort x desc
2053,journal_committee,Bar,Easy,"Visualize BAR SELECT Name , Age FROM editor",Visualize a bar chart to show editors' names and their ages .,mark bar data editor encoding x name y aggregate none age
3146@x_name@ASC,university_basketball,Bar,Easy,"Visualize BAR SELECT All_Neutral , All_Games_Percent FROM basketball_match ORDER BY All_Neutral ASC","Find All_Neutral and All_Games_Percent , and visualize them by a bar chart , and I want to rank by the names from low to high .",mark bar data basketball_match encoding x all_neutral y aggregate none all_games_percent transform sort x asc
1342@y_name@ASC,employee_hire_evaluation,Bar,Medium,"Visualize BAR SELECT Start_from , SUM(Employee_ID) FROM hiring  ORDER BY SUM(Employee_ID) ASC BIN Start_from BY WEEKDAY","Give me the comparison about the sum of Employee_ID over the Start_from bin start_from by weekday by a bar chart , order Y-axis in ascending order .",mark bar data hiring encoding x start_from y aggregate sum employee_id transform sort y asc bin x by weekday
3142,university_basketball,Pie,Easy,"Visualize PIE SELECT All_Road , All_Games_Percent FROM basketball_match",Visualize a pie chart about the proportion of All_Road and All_Games_Percent .,mark arc data basketball_match encoding x all_road y aggregate none all_games_percent
1371@x_name@ASC,entrepreneur,Bar,Medium,"Visualize BAR SELECT Investor , COUNT(*) FROM entrepreneur GROUP BY Investor ORDER BY Investor ASC","How many entrepreneurs correspond to each investor , and order by the names in asc .",mark bar data entrepreneur encoding x investor y aggregate count investor transform group x sort x asc
1804@x_name@ASC,hr_1,Bar,Extra Hard,"Visualize BAR SELECT FIRST_NAME , AVG(SALARY) FROM employees WHERE first_name LIKE '%m' GROUP BY FIRST_NAME ORDER BY FIRST_NAME ASC","For employees with first names that end with the letter m , give me a bar chart to show their average salary , and list FIRST_NAME in asc order .",mark bar data employees encoding x first_name y aggregate mean salary transform filter first_name like '%m' group x sort x asc
2488@x_name@ASC,news_report,Bar,Medium,"Visualize BAR SELECT Nationality , AVG(Age) FROM journalist GROUP BY Nationality ORDER BY Nationality ASC","A bar chart about what are the nationalities and their average ages of journalists ? , I want to rank by the x axis from low to high .",mark bar data journalist encoding x nationality y aggregate mean age transform group x sort x asc
1408@y_name@DESC,flight_1,Bar,Medium,"Visualize BAR SELECT destination , count(*) FROM Flight GROUP BY destination ORDER BY count(*) DESC","Show all destinations and the number of flights to each destination Plot them as bar chart , I want to list from high to low by the Y-axis .",mark bar data flight encoding x destination y aggregate count destination transform group x sort y desc
1347@y_name@ASC,employee_hire_evaluation,Bar,Medium,"Visualize BAR SELECT Is_full_time , SUM(Employee_ID) FROM hiring GROUP BY Is_full_time ORDER BY SUM(Employee_ID) ASC","Visualize a bar chart about the distribution of Is_full_time and the sum of Employee_ID , and group by attribute Is_full_time , could you list by the total number in asc ?",mark bar data hiring encoding x is_full_time y aggregate sum employee_id transform group x sort y asc
21,activity_1,Pie,Medium,"Visualize PIE SELECT Sex , count(*) FROM Faculty WHERE rank = ""AsstProf"" GROUP BY sex",Give the proportion of how many male and female assistant professors do we have ?,"mark arc data faculty encoding x sex y aggregate count sex transform filter rank = ""asstprof"" group x"
1012,customers_campaigns_ecommerce,Bar,Easy,"Visualize BAR SELECT premises_type , count(*) FROM premises GROUP BY premises_type",Show each premise type and the number of premises in that type . Visualize by bar chart .,mark bar data premises encoding x premises_type y aggregate count premises_type transform group x
3161,university_basketball,Grouping Scatter,Easy,"Visualize SCATTER SELECT Team_ID , ACC_Percent FROM basketball_match GROUP BY Team_Name","Return a scatter chart about the correlation between Team_ID and ACC_Percent , and group by attribute Team_Name .",mark point data basketball_match encoding x team_id y aggregate none acc_percent transform group team_name
2421,music_1,Bar,Easy,"Visualize BAR SELECT formats , count(*) FROM files GROUP BY formats",A bar chart about how many songs were released for each format ?,mark bar data files encoding x formats y aggregate count formats transform group x
1126@x_name@DESC,department_store,Bar,Hard,"Visualize BAR SELECT customer_name , customer_id FROM customers WHERE customer_address LIKE ""%TN%"" ORDER BY customer_name DESC","what are the names and ids of customers whose address contains TN ? , and I want to sort from high to low by the bars .","mark bar data customers encoding x customer_name y aggregate none customer_id transform filter customer_address like ""%tn%"" sort x desc"
2503@y_name@DESC,party_host,Bar,Medium,"Visualize BAR SELECT Nationality , COUNT(*) FROM HOST GROUP BY Nationality ORDER BY COUNT(*) DESC","Bar chart x axis nationality y axis the total number , sort in descending by the total number please .",mark bar data host encoding x nationality y aggregate count nationality transform group x sort y desc
279@y_name@ASC,behavior_monitoring,Bar,Hard,"Visualize BAR SELECT date_incident_end , COUNT(date_incident_end) FROM Behavior_Incident WHERE incident_type_code = ""NOISE""  ORDER BY COUNT(date_incident_end) ASC BIN date_incident_end BY MONTH","A bar chart about the number of end dates for incidents with incident type code ""NOISE"" and bin by month , could you sort by the y-axis from low to high please ?","mark bar data behavior_incident encoding x date_incident_end y aggregate count date_incident_end transform filter incident_type_code = ""noise"" sort y asc bin x by month"
2698@y_name@DESC,school_bus,Bar,Medium,"Visualize BAR SELECT Home_city , AVG(Age) FROM driver GROUP BY Home_city ORDER BY AVG(Age) DESC","Show the average age of drivers from the same home city using a bar graph , and sort total number from high to low order .",mark bar data driver encoding x home_city y aggregate mean age transform group x sort y desc
1032@y_name@DESC,customers_card_transactions,Bar,Medium,"Visualize BAR SELECT transaction_type , count(*) FROM Financial_transactions GROUP BY transaction_type ORDER BY count(*) DESC","Show the transaction type and the number of transactions Plot them as bar chart , and could you sort by the y-axis from high to low ?",mark bar data financial_transactions encoding x transaction_type y aggregate count transaction_type transform group x sort y desc
1152@x_name@DESC,document_management,Bar,Medium,"Visualize BAR SELECT role_code , count(*) FROM users GROUP BY role_code ORDER BY role_code DESC","Bar graph to show the total number from different role code , and sort from high to low by the bar .",mark bar data users encoding x role_code y aggregate count role_code transform group x sort x desc
415@x_name@DESC,car_1,Line,Medium,"Visualize LINE SELECT Year , avg(Weight) FROM CARS_DATA GROUP BY YEAR ORDER BY Year DESC","Show me a line chart for what is the average weight and year for each year ? , and rank x-axis in desc order .",mark line data cars_data encoding x year y aggregate mean weight transform group x sort x desc
1229@x_name@ASC,dorm_1,Bar,Medium,"Visualize BAR SELECT city_code , count(*) FROM student GROUP BY city_code ORDER BY city_code ASC","Return a histogram on how many students are from each city , and which cities have more than one cities ? , I want to order by the x axis in asc .",mark bar data student encoding x city_code y aggregate count city_code transform group x sort x asc
341,bike_1,Bar,Medium,"Visualize BAR SELECT date , COUNT(date) FROM weather WHERE mean_sea_level_pressure_inches BETWEEN 30.3 AND 31 BIN date BY WEEKDAY",A bar chart for what are the number of the dates that have an average sea level pressure between 30 . 3 and 31 ?,mark bar data weather encoding x date y aggregate count date transform filter mean_sea_level_pressure_inches between 30.3 and 31 bin x by weekday
3073,university_basketball,Grouping Scatter,Easy,"Visualize SCATTER SELECT Team_ID , ACC_Percent FROM basketball_match GROUP BY ACC_Road","Give me a scatter chart that groups acc road , the x-axis is team id and the y-axis is acc percent .",mark point data basketball_match encoding x team_id y aggregate none acc_percent transform group acc_road
1617,hr_1,Line,Medium,"Visualize LINE SELECT HIRE_DATE , DEPARTMENT_ID FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR department_id != 40","For those employees whose salary is in the range of 8000 and 12000 and commission is not null or department number does not equal to 40 , draw a line chart about the change of department_id over hire_date .","mark line data employees encoding x hire_date y aggregate none department_id transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40"
3082,university_basketball,Grouping Scatter,Easy,"Visualize SCATTER SELECT Team_ID , All_Games_Percent FROM basketball_match GROUP BY ACC_Home","Show me about the correlation between Team_ID and All_Games_Percent , and group by attribute ACC_Home in a scatter chart .",mark point data basketball_match encoding x team_id y aggregate none all_games_percent transform group acc_home
1211@x_name@ASC,dorm_1,Bar,Medium,"Visualize BAR SELECT gender , sum(student_capacity) FROM dorm GROUP BY gender ORDER BY gender ASC","What is the total capacity of dorms for each gender ? Give me a bar chart , and could you list by the x-axis from low to high ?",mark bar data dorm encoding x gender y aggregate sum student_capacity transform group x sort x asc
2943@y_name@DESC,theme_gallery,Bar,Medium,"Visualize BAR SELECT Country , AVG(Age) FROM artist GROUP BY Country ORDER BY AVG(Age) DESC","Show the average of artists' age by country , and sort in desc by the y-axis .",mark bar data artist encoding x country y aggregate mean age transform group x sort y desc
1260,e_learning,Bar,Easy,"Visualize BAR SELECT login_name , gender_mf FROM Course_Authors_and_Tutors ORDER BY personal_name",Visualize a bar chart about the distribution of login_name and gender_mf .,mark bar data course_authors_and_tutors encoding x login_name y aggregate none gender_mf transform sort personal_name
2926@y_name@DESC,swimming,Bar,Easy,"Visualize BAR SELECT Time , ID FROM swimmer ORDER BY ID DESC","Give me the comparison about ID over the Time by a bar chart , could you list ID from high to low order ?",mark bar data swimmer encoding x time y aggregate none id transform sort y desc
74@x_name@ASC,apartment_rentals,Bar,Medium,"Visualize BAR SELECT booking_status_code , COUNT(*) FROM Apartment_Bookings GROUP BY booking_status_code ORDER BY booking_status_code ASC","Show me a bar chart for how many bookings does each booking status have ? List the booking status code and the number of corresponding bookings , show names in asc order .",mark bar data apartment_bookings encoding x booking_status_code y aggregate count booking_status_code transform group x sort x asc
3095,university_basketball,Grouping Scatter,Easy,"Visualize SCATTER SELECT Team_ID , ACC_Percent FROM basketball_match GROUP BY All_Home","Draw a scatter chart about the correlation between Team_ID and ACC_Percent , and group by attribute All_Home .",mark point data basketball_match encoding x team_id y aggregate none acc_percent transform group all_home
1607@x_name@ASC,hr_1,Bar,Extra Hard,"Visualize BAR SELECT JOB_ID , AVG(DEPARTMENT_ID) FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR department_id != 40 GROUP BY JOB_ID ORDER BY JOB_ID ASC","For those employees whose salary is in the range of 8000 and 12000 and commission is not null or department number does not equal to 40 , give me the comparison about the average of department_id over the job_id , and group by attribute job_id , and I want to sort in asc by the JOB_ID .","mark bar data employees encoding x job_id y aggregate mean department_id transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40 group x sort x asc"
1182,dog_kennels,Bar,Easy,"Visualize BAR SELECT date_departed , COUNT(date_departed) FROM Dogs GROUP BY date_departed",List the number of dogs departed in each day with a bar chart that groups by departed date .,mark bar data dogs encoding x date_departed y aggregate count date_departed transform group x
2773,singer,Pie,Easy,"Visualize PIE SELECT Citizenship , COUNT(*) FROM singer GROUP BY Citizenship",Create a pie chart showing the total number across citizenship .,mark arc data singer encoding x citizenship y aggregate count citizenship transform group x
1587@y_name@DESC,hr_1,Bar,Extra Hard,"Visualize BAR SELECT HIRE_DATE , AVG(MANAGER_ID) FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR department_id != 40  ORDER BY AVG(MANAGER_ID) DESC BIN HIRE_DATE BY MONTH","For those employees whose salary is in the range of 8000 and 12000 and commission is not null or department number does not equal to 40 , give me the comparison about the average of manager_id over the hire_date bin hire_date by time by a bar chart , could you sort total number from high to low order please ?","mark bar data employees encoding x hire_date y aggregate mean manager_id transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40 sort y desc bin x by month"
2321@x_name@DESC,match_season,Bar,Medium,"Visualize BAR SELECT Position , COUNT(*) FROM match_season GROUP BY POSITION ORDER BY Position DESC","Show the position of players and the corresponding number of players with a bar chart , and order names in desc order .",mark bar data match_season encoding x position y aggregate count position transform group x sort x desc
1592,hr_1,Bar,Hard,"Visualize BAR SELECT HIRE_DATE , SUM(SALARY) FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR department_id != 40 BIN HIRE_DATE BY WEEKDAY","For those employees whose salary is in the range of 8000 and 12000 and commission is not null or department number does not equal to 40 , return a bar chart about the distribution of hire_date and the sum of salary bin hire_date by weekday .","mark bar data employees encoding x hire_date y aggregate sum salary transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40 bin x by weekday"
1461,formula_1,Scatter,Easy,"Visualize SCATTER SELECT count(*) , constructorId FROM constructorStandings GROUP BY constructorid",Scatter chart . what are the numbers of races for each constructor id ?,mark point data constructorstandings encoding x count(*) y aggregate none constructorid transform group constructorid
1300@x_name@DESC,e_learning,Line,Medium,"Visualize LINE SELECT date_of_completion , COUNT(date_of_completion) FROM Student_Course_Enrolment GROUP BY date_of_completion ORDER BY date_of_completion DESC","Visualize the general trend of the number of date of completion over the date of completion , and rank by the X-axis in desc .",mark line data student_course_enrolment encoding x date_of_completion y aggregate count date_of_completion transform group x sort x desc
2573@x_name@DESC,phone_market,Bar,Medium,"Visualize BAR SELECT Carrier , AVG(Memory_in_G) FROM phone GROUP BY Carrier ORDER BY Carrier DESC","Give me a histogram for what are the memories and carriers of phones ? , list by the x axis in desc .",mark bar data phone encoding x carrier y aggregate mean memory_in_g transform group x sort x desc
3144@x_name@ASC,university_basketball,Bar,Easy,"Visualize BAR SELECT All_Neutral , ACC_Percent FROM basketball_match ORDER BY All_Neutral ASC","Bar chart of acc_percent from each all neutral , and could you show from low to high by the X please ?",mark bar data basketball_match encoding x all_neutral y aggregate none acc_percent transform sort x asc
346,bike_1,Bar,Easy,"Visualize BAR SELECT date , COUNT(date) FROM weather BIN date BY WEEKDAY",I want a bar chart to show the frequency of the dates that have the 5 highest cloud cover rates each day .,mark bar data weather encoding x date y aggregate count date transform bin x by weekday
435@x_name@DESC,chinook_1,Bar,Medium,"Visualize BAR SELECT Phone , COUNT(Phone) FROM EMPLOYEE GROUP BY Phone ORDER BY Phone DESC","What are the number of the phone numbers for each employee ? , display in descending by the bars .",mark bar data employee encoding x phone y aggregate count phone transform group x sort x desc
381,candidate_poll,Pie,Easy,"Visualize PIE SELECT Sex , SUM(Weight) FROM people GROUP BY Sex",Give me a pie to show total number of weight from different sex .,mark arc data people encoding x sex y aggregate sum weight transform group x
2450@y_name@DESC,musical,Bar,Medium,"Visualize BAR SELECT Nominee , COUNT(*) FROM musical GROUP BY Nominee ORDER BY COUNT(*) DESC","Give me a histogram for how many musicals has each nominee been nominated for ? , sort by the Y-axis in desc please .",mark bar data musical encoding x nominee y aggregate count nominee transform group x sort y desc
1762,hr_1,Bar,Medium,"Visualize BAR SELECT HIRE_DATE , SUM(DEPARTMENT_ID) FROM employees WHERE hire_date < '2002-06-21' BIN HIRE_DATE BY MONTH","For those employees who was hired before 2002-06-21 , visualize a bar chart about the distribution of hire_date and the sum of department_id bin hire_date by time .",mark bar data employees encoding x hire_date y aggregate sum department_id transform filter hire_date < '2002-06-21' bin x by month
1977@y_name@DESC,inn_1,Bar,Medium,"Visualize BAR SELECT bedType , avg(basePrice) FROM Rooms GROUP BY bedType ORDER BY avg(basePrice) DESC","Draw a bar chart for what is the average base price of rooms , for each bed type ? , and list mean baseprice in descending order .",mark bar data rooms encoding x bedtype y aggregate mean baseprice transform group x sort y desc
1615,hr_1,Scatter,Medium,"Visualize SCATTER SELECT EMPLOYEE_ID , SALARY FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR department_id != 40","For those employees whose salary is in the range of 8000 and 12000 and commission is not null or department number does not equal to 40 , draw a scatter chart about the correlation between employee_id and salary .","mark point data employees encoding x employee_id y aggregate none salary transform filter salary between 8000 and 12000 and commission_pct != ""null"" or department_id != 40"
96@x_name@DESC,apartment_rentals,Bar,Easy,"Visualize BAR SELECT apt_type_code , min(room_count) FROM Apartments GROUP BY apt_type_code ORDER BY apt_type_code DESC","Bar graph to show minimal room count from different apt type code , rank names from high to low order .",mark bar data apartments encoding x apt_type_code y aggregate min room_count transform group x sort x desc
991,customers_and_invoices,Scatter,Easy,"Visualize SCATTER SELECT order_id , sum(product_quantity) FROM Order_items GROUP BY order_id",Show order ids and the total quantity in each order . Visualize by scatter chart .,mark point data order_items encoding x order_id y aggregate sum product_quantity transform group x
2605@y_name@ASC,product_catalog,Bar,Medium,"Visualize BAR SELECT catalog_level_name , catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10 ORDER BY catalog_level_number ASC","Find the name and level of catalog structure with level between 5 and 10 , and list by the y axis in ascending .",mark bar data catalog_structure encoding x catalog_level_name y aggregate none catalog_level_number transform filter catalog_level_number between 5 and 10 sort y asc
769@y_name@DESC,cre_Doc_Tracking_DB,Bar,Medium,"Visualize BAR SELECT Location_Code , COUNT(Location_Code) FROM Document_locations GROUP BY Location_Code ORDER BY COUNT(Location_Code) DESC","Show the number of documents for each location code in a bar chart , and I want to rank by the y axis in desc .",mark bar data document_locations encoding x location_code y aggregate count location_code transform group x sort y desc
